county,election_district,office,district,party,candidate,election_day,absentee,votes
New Castle,10-05,U.S. Senate,,REPUBLICAN,O'Donnell,63,1,64
New Castle,10-05,U.S. Senate,,IND OF DEL,Miller G,7,0,7
New Castle,10-05,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,11-05,U.S. Senate,,DEMOCRATIC,Coons C,354,5,359
New Castle,11-05,U.S. Senate,,REPUBLICAN,O'Donnell,86,5,91
New Castle,11-05,U.S. Senate,,IND OF DEL,Miller G,8,0,8
New Castle,11-05,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,01-06,U.S. Senate,,DEMOCRATIC,Coons C,304,11,315
New Castle,01-06,U.S. Senate,,REPUBLICAN,O'Donnell,224,11,235
New Castle,01-06,U.S. Senate,,IND OF DEL,Miller G,17,1,18
New Castle,01-06,U.S. Senate,,LIBERTARIN,Rash J,6,1,7
New Castle,02-06,U.S. Senate,,DEMOCRATIC,Coons C,675,22,697
New Castle,02-06,U.S. Senate,,REPUBLICAN,O'Donnell,325,12,337
New Castle,02-06,U.S. Senate,,IND OF DEL,Miller G,20,2,22
New Castle,02-06,U.S. Senate,,LIBERTARIN,Rash J,6,0,6
New Castle,03-06,U.S. Senate,,DEMOCRATIC,Coons C,455,13,468
New Castle,03-06,U.S. Senate,,REPUBLICAN,O'Donnell,132,1,133
New Castle,03-06,U.S. Senate,,IND OF DEL,Miller G,9,1,10
New Castle,03-06,U.S. Senate,,LIBERTARIN,Rash J,6,0,6
New Castle,04-06,U.S. Senate,,DEMOCRATIC,Coons C,494,12,506
New Castle,04-06,U.S. Senate,,REPUBLICAN,O'Donnell,235,8,243
New Castle,04-06,U.S. Senate,,IND OF DEL,Miller G,14,0,14
New Castle,04-06,U.S. Senate,,LIBERTARIN,Rash J,9,0,9
New Castle,05-06,U.S. Senate,,DEMOCRATIC,Coons C,367,14,381
New Castle,05-06,U.S. Senate,,REPUBLICAN,O'Donnell,110,2,112
New Castle,05-06,U.S. Senate,,IND OF DEL,Miller G,6,0,6
New Castle,05-06,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,06-06,U.S. Senate,,DEMOCRATIC,Coons C,515,28,543
New Castle,06-06,U.S. Senate,,REPUBLICAN,O'Donnell,345,4,349
New Castle,06-06,U.S. Senate,,IND OF DEL,Miller G,20,0,20
New Castle,06-06,U.S. Senate,,LIBERTARIN,Rash J,9,0,9
New Castle,07-06,U.S. Senate,,DEMOCRATIC,Coons C,591,25,616
New Castle,07-06,U.S. Senate,,REPUBLICAN,O'Donnell,307,10,317
New Castle,07-06,U.S. Senate,,IND OF DEL,Miller G,20,0,20
New Castle,07-06,U.S. Senate,,LIBERTARIN,Rash J,6,0,6
New Castle,08-06,U.S. Senate,,DEMOCRATIC,Coons C,728,15,743
New Castle,08-06,U.S. Senate,,REPUBLICAN,O'Donnell,378,7,385
New Castle,08-06,U.S. Senate,,IND OF DEL,Miller G,37,0,37
New Castle,08-06,U.S. Senate,,LIBERTARIN,Rash J,11,0,11
New Castle,09-06,U.S. Senate,,DEMOCRATIC,Coons C,101,3,104
New Castle,09-06,U.S. Senate,,REPUBLICAN,O'Donnell,81,2,83
New Castle,09-06,U.S. Senate,,IND OF DEL,Miller G,11,0,11
New Castle,09-06,U.S. Senate,,LIBERTARIN,Rash J,3,0,3
New Castle,10-06,U.S. Senate,,DEMOCRATIC,Coons C,531,11,542
New Castle,10-06,U.S. Senate,,REPUBLICAN,O'Donnell,234,5,239
New Castle,10-06,U.S. Senate,,IND OF DEL,Miller G,13,0,13
New Castle,10-06,U.S. Senate,,LIBERTARIN,Rash J,6,0,6
New Castle,11-06,U.S. Senate,,DEMOCRATIC,Coons C,337,4,341
New Castle,11-06,U.S. Senate,,REPUBLICAN,O'Donnell,112,2,114
New Castle,11-06,U.S. Senate,,IND OF DEL,Miller G,13,0,13
New Castle,11-06,U.S. Senate,,LIBERTARIN,Rash J,4,0,4
New Castle,12-06,U.S. Senate,,DEMOCRATIC,Coons C,126,6,132
New Castle,12-06,U.S. Senate,,REPUBLICAN,O'Donnell,51,2,53
New Castle,12-06,U.S. Senate,,IND OF DEL,Miller G,1,0,1
New Castle,12-06,U.S. Senate,,LIBERTARIN,Rash J,1,0,1
New Castle,01-07,U.S. Senate,,DEMOCRATIC,Coons C,299,10,309
New Castle,01-07,U.S. Senate,,REPUBLICAN,O'Donnell,201,10,211
New Castle,01-07,U.S. Senate,,IND OF DEL,Miller G,15,0,15
New Castle,01-07,U.S. Senate,,LIBERTARIN,Rash J,3,0,3
New Castle,02-07,U.S. Senate,,DEMOCRATIC,Coons C,424,21,445
New Castle,02-07,U.S. Senate,,REPUBLICAN,O'Donnell,298,14,312
New Castle,02-07,U.S. Senate,,IND OF DEL,Miller G,22,0,22
New Castle,02-07,U.S. Senate,,LIBERTARIN,Rash J,2,0,2
New Castle,03-07,U.S. Senate,,DEMOCRATIC,Coons C,523,21,544
New Castle,03-07,U.S. Senate,,REPUBLICAN,O'Donnell,274,13,287
New Castle,03-07,U.S. Senate,,IND OF DEL,Miller G,27,0,27
New Castle,03-07,U.S. Senate,,LIBERTARIN,Rash J,10,0,10
New Castle,04-07,U.S. Senate,,DEMOCRATIC,Coons C,264,9,273
New Castle,04-07,U.S. Senate,,REPUBLICAN,O'Donnell,149,5,154
New Castle,04-07,U.S. Senate,,IND OF DEL,Miller G,10,0,10
New Castle,04-07,U.S. Senate,,LIBERTARIN,Rash J,1,0,1
New Castle,05-07,U.S. Senate,,DEMOCRATIC,Coons C,416,16,432
New Castle,05-07,U.S. Senate,,REPUBLICAN,O'Donnell,83,0,83
New Castle,05-07,U.S. Senate,,IND OF DEL,Miller G,6,0,6
New Castle,05-07,U.S. Senate,,LIBERTARIN,Rash J,7,0,7
New Castle,06-07,U.S. Senate,,DEMOCRATIC,Coons C,554,24,578
New Castle,06-07,U.S. Senate,,REPUBLICAN,O'Donnell,326,12,338
New Castle,06-07,U.S. Senate,,IND OF DEL,Miller G,15,1,16
New Castle,06-07,U.S. Senate,,LIBERTARIN,Rash J,7,0,7
New Castle,07-07,U.S. Senate,,DEMOCRATIC,Coons C,445,15,460
New Castle,07-07,U.S. Senate,,REPUBLICAN,O'Donnell,203,4,207
New Castle,07-07,U.S. Senate,,IND OF DEL,Miller G,22,1,23
New Castle,07-07,U.S. Senate,,LIBERTARIN,Rash J,7,0,7
New Castle,08-07,U.S. Senate,,DEMOCRATIC,Coons C,375,19,394
New Castle,08-07,U.S. Senate,,REPUBLICAN,O'Donnell,216,6,222
New Castle,08-07,U.S. Senate,,IND OF DEL,Miller G,17,1,18
New Castle,08-07,U.S. Senate,,LIBERTARIN,Rash J,4,0,4
New Castle,09-07,U.S. Senate,,DEMOCRATIC,Coons C,187,5,192
New Castle,09-07,U.S. Senate,,REPUBLICAN,O'Donnell,106,3,109
New Castle,09-07,U.S. Senate,,IND OF DEL,Miller G,1,0,1
New Castle,09-07,U.S. Senate,,LIBERTARIN,Rash J,1,0,1
